run_question,round,question_id,committed_class,visible_class,current_preview_has_gold,first_positive_tau
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no83,None,Partial,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no84,Partial,Partial,True,0.375
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no85,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no86,None,Complete,True,0.6666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no87,None,Partial,True,0.3333333333333333
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no88,None,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no89,None,Partial,True,0.4285714285714285
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no9,None,Partial,True,0.3333333333333333
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no90,None,Partial,True,0.5
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no91,None,Partial,True,0.2222222222222222
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no92,None,Partial,True,0.1538461538461538
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no93,None,Partial,True,0.25
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no94,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no95,Partial,Partial,True,0.375
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no96,None,Partial,True,0.1666666666666666
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no97,None,Partial,True,0.4
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no98,None,Partial,True,0.1538461538461538
Run 3::agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,Run 3,agentmemorybench:fact-mh-262k:context-0/factconsolidation_mh_262k_no99,None,Partial,True,0.2
